id;descricao;ativo;atualizacao
107;Ducha Fria;1;2018-03-29 11:14:00.157
108;Em Plástico com Inox;1;2018-03-29 11:15:31.680
109;Caixa Acoplada em Louça;1;2018-03-29 11:15:44.520
110;Com Moldura;1;2018-03-29 11:17:09.040
111;Sem Moldura;1;2018-03-29 11:17:14.797
112;Com Manchas e Moldura;1;2018-03-29 11:17:26.060
113;Com Manchas e sem Moldura;1;2018-03-29 11:18:03.780
114;Em Alvenaria;1;2018-03-29 11:24:50.420
115;Em Louça Embutida;1;2018-03-29 11:25:27.267
116;Em Poliester;1;2018-03-29 11:31:24.907
117;Em PVC com Assento Almofadado;1;2018-03-29 11:31:52.877
119;Em Louça com Manchas Internas;1;2018-03-29 11:34:23.390
121;Com Bloco de Vidro;1;2018-03-29 11:47:52.003
122;Revestida em Cerâmica;1;2018-03-29 11:48:27.010
127;Em Amianto;1;2018-03-29 12:02:53.687
128;Em Telha Colonial;1;2018-03-29 12:03:03.330
129;Em Telhão;1;2018-03-29 12:03:11.177
130;Em Zinco;1;2018-03-29 12:03:17.853
132;Intelbrás;1;2018-03-29 12:19:45.217
133;Maxcon;1;2018-03-29 12:19:50.770
134;Thevear;1;2018-03-29 12:19:59.583
135;Sem Marca;1;2018-03-29 12:20:09.523
136;Em Tecido;1;2018-03-29 14:32:59.140
137;Ventilador de Teto com Abajur;1;2018-03-29 14:37:11.257
138;Ventilador de Teto sem Abajur;1;2018-03-29 14:37:22.897
139;Laminada;1;2018-03-29 15:17:11.220
140;Esquadria de Ferro;1;2018-04-02 10:37:26.140
145;Encanado;1;2018-04-02 11:50:44.260
146;Em Plástico Sanfonado;1;2018-04-02 11:54:38.310
147;Em Porcelana;1;2018-04-02 11:55:18.280
148;Em Resina;1;2018-04-02 11:55:42.820
